model_version,test,equation,formula_used,n_obs
crude_2visit,coding_correct,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,1649
crude_2visit,coding_correct,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,1649
crude_2visit,dsb,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3556
crude_2visit,dsb,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3556
crude_2visit,dsf,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3610
crude_2visit,dsf,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3610
crude_2visit,lmd,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,4176
crude_2visit,lmd,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,4176
crude_2visit,lmi,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,4189
crude_2visit,lmi,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,4189
crude_2visit,lmr,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3555
crude_2visit,lmr,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3555
crude_2visit,pasd,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3485
crude_2visit,pasd,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3485
crude_2visit,pasi,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3793
crude_2visit,pasi,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3793
crude_2visit,pasr,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,2556
crude_2visit,pasr,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,2556
crude_2visit,trailsa,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3725
crude_2visit,trailsa,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3725
crude_2visit,trailsb,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3630
crude_2visit,trailsb,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3630
crude_2visit,vrd,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,4114
crude_2visit,vrd,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,4114
crude_2visit,vri,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,4133
crude_2visit,vri,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,4133
crude_2visit,vrr,baseline_firsttest,score ~ age_bl + I(age_bl^2) + sex_label + age_bl:sex_label + I(age_bl^2):sex_label,3857
crude_2visit,vrr,first_followup_retest,score ~ age_fu1 + I(age_fu1^2) + sex_label + age_fu1:sex_label + I(age_fu1^2):sex_label,3857
